"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","221","Validar imagens de sub-raça (English Bulldog)","","Thu Apr 16 16:49:17 UTC 2026","passed","Thu Apr 16 16:49:18 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarImagensParaSubRaca"
"","208","BUG: Erro 400 para contagem negativa","","Thu Apr 16 16:49:15 UTC 2026","failed","Thu Apr 16 16:49:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNegativo"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","223","BUG: Erro 400 para input não numérico","","Thu Apr 16 16:49:15 UTC 2026","failed","Thu Apr 16 16:49:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","4326","Validar busca funcional com termos genéricos","","Thu Apr 16 16:49:00 UTC 2026","passed","Thu Apr 16 16:49:04 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","364","deveRetornarImagensDiferentes() Validando Aleatoriedade: 2/3","","Thu Apr 16 16:49:13 UTC 2026","passed","Thu Apr 16 16:49:13 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","286","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 16 16:49:17 UTC 2026","passed","Thu Apr 16 16:49:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","312","Validar sub-raças do Bulldog","","Thu Apr 16 16:49:18 UTC 2026","passed","Thu Apr 16 16:49:19 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveRetornarSubRacasParaBulldog"
"","281","Validar integridade da URL da imagem","","Thu Apr 16 16:49:15 UTC 2026","passed","Thu Apr 16 16:49:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarUrlValidaComExtensao"
"","370","Validar estrutura da lista e raças principais","","Thu Apr 16 16:49:18 UTC 2026","passed","Thu Apr 16 16:49:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveValidarEstruturaEConteudoDaLista"
"","216","Validar SLA de resposta","","Thu Apr 16 16:49:16 UTC 2026","passed","Thu Apr 16 16:49:16 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","363","Validar contrato e integridade das imagens Validar raça: husky","","Thu Apr 16 16:49:17 UTC 2026","passed","Thu Apr 16 16:49:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","218","Validar erro 404 para raça inexistente","","Thu Apr 16 16:49:18 UTC 2026","passed","Thu Apr 16 16:49:18 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","671","Validar busca com termo de artigo existente","","Thu Apr 16 16:49:05 UTC 2026","passed","Thu Apr 16 16:49:06 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarBuscaComSucesso"
"","351","deveRetornarImagensDiferentes() Validando Aleatoriedade: 3/3","","Thu Apr 16 16:49:13 UTC 2026","passed","Thu Apr 16 16:49:13 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","707","Validar busca funcional com termos inexistente","","Thu Apr 16 16:49:06 UTC 2026","passed","Thu Apr 16 16:49:07 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","255","Validar contrato e integridade das imagens Validar raça: akita","","Thu Apr 16 16:49:17 UTC 2026","passed","Thu Apr 16 16:49:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","476","Validar limites de quantidade (3 e 50)","","Thu Apr 16 16:49:15 UTC 2026","passed","Thu Apr 16 16:49:16 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveValidarLimitesDeQuantidade"
"","743","Validar busca funcional sem textos","","Thu Apr 16 16:49:04 UTC 2026","passed","Thu Apr 16 16:49:05 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","199","Validar SLA de resposta","","Thu Apr 16 16:49:18 UTC 2026","passed","Thu Apr 16 16:49:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
"","993","Validar contrato e status success","","Thu Apr 16 16:49:14 UTC 2026","passed","Thu Apr 16 16:49:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"","222","Validar tempo de resposta","","Thu Apr 16 16:49:15 UTC 2026","passed","Thu Apr 16 16:49:15 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","2643","deveRetornarImagensDiferentes() Validando Aleatoriedade: 1/3","","Thu Apr 16 16:49:10 UTC 2026","passed","Thu Apr 16 16:49:12 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarImagensDiferentes"
"","336","Validar contrato e integridade das imagens Validar raça: labrador","","Thu Apr 16 16:49:16 UTC 2026","passed","Thu Apr 16 16:49:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","250","BUG: Erro 400 para contagem zero","","Thu Apr 16 16:49:13 UTC 2026","failed","Thu Apr 16 16:49:13 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroZero"
